filled_paraphrased_canonical	masked_sparql_query
У компании Интер сколько владельцев? 	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Какую страну омывают воды Чапаевка? 	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
Количество всех имен у персонажа, с которым сейчас живет Лютик?	select count ( distinct ?x0 ) where { SUBJ_1 dr:residence ?dummy . ?dummy dr:name ?x0 . }
Какое среднее число многовариантных названий имеет вещество, основным компонентом которого является нитрат серебра II?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Сколько существовала страна, основавшая AOL, в максимальном времени? 	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:period_country ?x0 . }
Какова средняя величина площади страны, в юрисдикции которой находится Кум? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Какое количесто родителей у Шрамм Жан?	select count ( distinct ?x0 ) where { ?x0 dr:child OBJ_1 . }
Родственник Луи Каравак и Лузье Рэй?	select ?x0 where { ?x0 dr:relative OBJ_1 . ?x0 dr:relative OBJ_1 . }
Сколько детей у женщины, от которого Керри Вашингтон имеет ребенка?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:child_count ?x0 . }
минимальное число альтернативных названий имеет вещество, основным компонентом которого является Пентаплатинатриторий?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Как долго в суммарном количестве существует страна, в юрисдикции которой находится Мощный? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
У компании Alawar Entertainment сколько всего владельцев?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Как много наименований есть у элемента, который имеет название в честь Кота Кинабалу? 	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
В каком году было основано учебное заведение, где обучался Василий Дмитриевич Нещипленко?	select ?x0 where { SUBJ_1 dr:education ?dummy . ?dummy dr:date_foundation ?x0 . }
Сколько километров составляет максимальная длина границ страны, в юрисдикции которой находится Нытвенский металлургический заводDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Самый легкий метал в химическом классе Польша?	select distinct ?x0 where { SUBJ_1 dr:lightest ?x0 . }
сколько у мужа Алексей Николаевич Сахаров всего детей?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:child_count ?x0 . }
К чему ближе, географически находится Гадяч?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Какое общее количество имён у ребёнка Земцов Михаил Григорьевич?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:real_full_name ?x0 . }
Какая длина у границы страны, в юрисдикции которой находится Покровский соборDUMMY, максимум?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Из скольких частей состоит книга, в которой есть персонаж Тони Монтана?	select count ( distinct ?x0 ) where { SUBJ_1 dr:present_in_literary_work ?dummy . ?dummy dr:number_of_parts ?x0 . }
Что находится близ впадения реки Третья Тверская Ямская улица	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Чья дочь Сухель Аль Хасан	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Количество популяции на территории Тонганская империя?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
В каком возрасте умер создатель героя Незнайка?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:death_age ?x0 . }
Сколько времени длится фильм режиссер которого Майки Мэдион?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Элемент,названный в честь Савелки	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Какое среднее количество логотипов у компании которая владеет Electronic Arts? 	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Сколько родилось детей от мужа Ялангтуш Бахадур? 	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:child_count ?x0 . }
Сколько времени максимум уходит на просмотр фильма, в котором режиссер и актер одновременно Франциск Феб?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Популяция страны которая  которая граничит с СССР	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_count ?x0 . }
Размер страны рядом с Белоруссия	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_count ?x0 . }
Какова суммарная длина омывающих Мичуринское водоемов?	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
В каком году была создана Hugo Boss?	select distinct ?x0 where { SUBJ_1 dr:company_inception_date ?x0 . }
Сколько лет назад образовано государство , где находится Падуя?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
В каком возрасте умер первооткрыватель Вышний Волочек? 	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_age ?x0 . }
Как давно было основано учебное заведение, где обучался Алексей Александрович Старобинский?	select ?x0 where { SUBJ_1 dr:education ?dummy . ?dummy dr:date_foundation ?x0 . }
Какое название имела компания, созданная в Швейцария?	select distinct ?x0 where { ?x0 dr:company_inception_place OBJ_1 . }
Какой итоговой высотой над уровнем моря обладает место, где в текущем моменте времени живет  Владимир Викторович Морозов?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Какую площадь имеет государство, в котором развивается сюжет произведения Институт?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
управление  морфология	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Сколько всего фирм было создано в Луганское?	select count ( distinct ?x0 ) where { ?x0 dr:company_inception_place OBJ_1 . }
Какой аккаунт в соцсети у родителя Нидермайер Скотт?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:twitter ?x0 . }
Плотность Замоскворечье исторический район?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:population_density ?x0 . }
Почему умер Петр Алексеевич Кропоткин?	select distinct ?x0 where { SUBJ_1 dr:death_cause ?x0 . }
Какое имя в твиттере у мужа Виктор Михайлович Лебедев?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
Можете назвать мне дату рождения автора, создавшего персонаж Черный Адам?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:birth_day ?x0 . }
Сколько существует государство, в котором находится центральный офис компании Winston?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Откровение Иоанна Богослова стиль написания ?	select distinct ?x0 where { ?x0 dr:present_in_literary_work OBJ_1 . }
Число работ у ребёнка Майкл Чендлер?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:count_works ?x0 . }
Какая страна омывается Сартаково?	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
Какова минимальная цифра плотности населения, где в настоящий момент живёт Салихамиджич Хасан?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Что было сделано в Израиль?	select distinct ?x0 where { ?x0 wdt:p495 OBJ_1 . }
Кто является обладателем компании Saber interactive?	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Какая основная работа человека, занимающего должность директора история религии?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:main_field_of_work ?x0 . }
Какой размер популяции в месте, в котором располагается Джевахир?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
Какая минимальная ширина области, в котором расположена Улица 17 Июня?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Какой код на КиноПоиске у человека, который является родителем актера Гарольд I?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy wdt:p2604 ?x0 . }
В каком году появилась Штурмовые отряды	select distinct ?x0 where { SUBJ_1 dr:company_inception_date ?x0 . }
 Сколько суммарно составляет плотность населения в месте, где расположен Великобритания?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Название основного элемента входящего в состав хлорбензальмалондинитрил? 	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Какова максимальная высота над уровнем моря у места, в котором в текущий момент живёт Тверски Амос?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Центральный район, географическое расположение	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Какое среднее число многовариантных названий имеет вещество, основным компонентом которого является гексафторбензол?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Сколько в среднем составляет высота над уровнем моря у места, где на данный момент живёт Филина Элеонора Николаевна?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Когда распалась страна, ближе к к которой расположена Турбоатом?	select ?x0 where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:date_country_end ?x0 . }
У человека, основавшего компанию Shazam, какое настоящее полное имя ?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:real_full_name ?x0 . }
Дейви Джонс дата написания книги	select ?x0 where { SUBJ_1 dr:main_character ?dummy . ?dummy dr:inception ?x0 . }
Кто родственник Йозеф Аллербергер	select distinct ?x0 where { SUBJ_1 dr:relative ?x0 . }
 Какова суммарная плотность населения государства, гражданином которого является Джо Сатриани?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
Кем работал человек, занимающего должность директора Schlumberger?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:main_field_of_work ?x0 . }
Чье предложение повлияло на постройку супервайзер	select distinct ?x0 where { ?x0 dr:reformer OBJ_1 . }
Какова протяжённость границ Кабо Верде? 	select distinct ?x0 where { SUBJ_1 dr:border_length ?x0 . }
к какому географическому объекту ближе всего расположено место где находится Тверская площадь	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Какова средняя плотность населения в стране, с которой граничит СССР?	select distinct ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_density ?x0 . } order by desc ( ?x0 )
Количество открытий на счету у того, кто изобрел сычужный фермент?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:count_works ?x0 . }
Какая популяция места, где сейчас живёт Кира Найтли?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_count ?x0 . }
Какой размер популяции в месте, в котором располагается Макон?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
Что на Земле омывается Королевский судный двор?	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
 Свободная пресса владелец	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Логотипы кампании Песняры	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Кем являются мама и папа Дмитрий Игоревич Баландин?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Какая средняя площадь страны, которая является родиной Игорь Святославич?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Какой жанр музыки исполняет вдохновитель Файруза Балк	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Каков максимальный показатель плотность населения, где в сейчас живёт Критий?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Какова суммарная продолжительность существования страны, граничащей с Великобритания?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:period_country ?x0 . }
Есть ли жена у убийцы Андрей Болконский	select ?x0 where { SUBJ_1 dr:death_cause ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Какая ширина страны, которая имеет в своём составе Джалаириды?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:width ?x0 . }
Какое вымышленное имя у Леонтий Васильевич Дубельт?	select distinct ?x0 where { SUBJ_1 dr:pseudonym ?x0 . }
Шари распался? 	select distinct ?x0 where { SUBJ_1 dr:company_end_date ?x0 . }
Бристоль сеть магазинов какой логотип у его продуктов	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
Произведение которое сочинил Анна Сергеевна Сень 	select distinct ?x0 where { SUBJ_1 dr:composed ?x0 . }
В столице какого государства родился Ковалев Иван Владимирович?	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:iscapitalof ?x0 . }
Свасьян Карен Араевич может разговаривать на язках:...	select distinct ?x0 where { SUBJ_1 dr:languages ?x0 . }
В каком году была придумана книга, главным персонажем которой является Майкл Корлеоне?	select ?x0 where { SUBJ_1 dr:main_character ?dummy . ?dummy dr:inception ?x0 . }
Какая максимальная плотность населения в том месте, где в текущий момент живёт Майкл Уинкотт?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
В каком же альянсе состоит Памятник Александру III?	select distinct ?x0 where { ?x0 dr:parts_alliance OBJ_1 . }
Петербургские повести было создано в стране с какой площадью? 	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:area ?x0 . }
В каком году начал творческую деятельность родственник Борис Михайлович Сичкин? 	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:work_period_start ?x0 . }
Сколько всего притоков у озера Геническ?	select count ( distinct ?x0 ) where { SUBJ_1 dr:river_inflows ?x0 . }
Значение суммарное границ протяженности страны,к которому близка Театр Диониса 	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Фильм, где актёр и режиссёр Маргарита Шубина, какую имеет минимальную продолжить по времени ?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Возраст страны на территории которой находится Пипи?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
информация о компанией Google Drive	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Что из себя представляет логотип у компании, являющейся владельцем Fox News Channel?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
исло альтернативных названий имеет вещество, основным компонентом которого является Стевиозид?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Сколько было лет скончавшемуся брату Татьяна Васильевна Соломатина? 	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:death_age ?x0 . }
Какое количество соседних государств у страны, столицей которой является Озеро Джека Лондона?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Какие имя и фамилия у матери Грубауэр Филипп?	select distinct ?x0 where { SUBJ_1 dr:mother ?x0 . }
Сколько всего логотипов , в сумме, у компании, которая владеет Уложенная комиссия?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
 Призрачный гонщик - это какой жанр? 	select distinct ?x0 where { SUBJ_1 dr:hasgeneralfilmgenre ?x0 . }
Место рождения и гражданство Хохлов Алексей Ремович, дата образования страны.	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Длина водоема вокруг Барбошина поляна	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Какова общая ширина еста, в котором находится Даньян Куньшаньский виадук? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Максимальная ширина места, где находится КНДР это?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
как назвать по другому химическое вещество, входящее в основу арсенат бора	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Страна на границе с Россия сколько всего лет существует?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:period_country ?x0 . }
Координаты где живет  Шульгин Василий Витальевич	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Каково населенин страны по количеству, гражданином которой является Имельда Ромуальдес Маркос?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
На сколько глубок водоем на территории которого географически расположена Великобритания	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
Какой ник у человека, вдохновившего Марья Заньковецкая? 	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:twitter ?x0 . }
Чьим ребенком является Отто Байсхайм?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
В каких датах был выпущен фильм Отелло?	select distinct ?x0 where { SUBJ_1 dr:publication_date ?x0 . }
В каком году была основана страна, в которой была создана компания Joom? 	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:date_country_foundation ?x0 . }
У названного в честь хлорид висмута IV химического элемента, какой атомный номер? 	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:atomic_number ?x0 . }
Какая страна и дата основания, где жил Умнов Сергей Павлович?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Каким полным именем обладал первый правитель Казахстан?	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:real_full_name ?x0 . }
Какова наибольшая цифра площади страны, являющейся родиной Макрейвен Уильям?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Срок существования страны с которой есть граница у Канада?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:period_country ?x0 . }
"""Дата распада страны, в которой написали """"Толкование сновидений""""?"""	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:date_country_end ?x0 . }
какой этнос принадлежит Рик Уэйкман? 	select distinct ?x0 where { SUBJ_1 dr:ethnic_group ?x0 . }
Как долго существует страна,в которой была написана книга Гиперболоид инженера Гарина?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:period_country ?x0 . }
Длина границы в Политика	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:border_length ?x0 . }
Сколько супругов было у родителя Шенгелия Торнике?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:marriage_count ?x0 . }
Как зовут ребёнка Теруань де Мерикур?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:real_full_name ?x0 . }
Как сильно протяженна улица где находится Варненская область?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Сколь работ написано с упоминанием места, где расположен Гоби?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:count_works_char ?x0 . }
Какое количество лет прожил человек, которым был вдохновлён Ворошилова Марина Константиновна?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
Что за атомный номер у Двойной суперфосфат?	select distinct ?x0 where { SUBJ_1 dr:atomic_number ?x0 . }
Какое наименьшее значение плотности страны, в юрисдикции которой находится Сеннар? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Как много логотипов у организации, выпускающей продукт компании Фалуньгун?	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
 Какая средняя протяжённость границ у страны, к которой ближе всего расположен Партийный переулок?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Лазаренко Иван Сидорович была вдохновлена человеком, выступавшим в музыкальных жанров, сколько их было?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
На какой высоте над уровнем моря проживает Сергей Гарегинович Асланян?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
На берегу какого моря стоит Израиль	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
 Сколько суммарно составляет плотность населения в месте, где расположен Афганистан?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Главный объект в низовье реки Ладожское озеро	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Попов Игорь Александрович этническая группа	select distinct ?x0 where { SUBJ_1 dr:ethnic_group ?x0 . }
В каком году был выпущен фильм Сага о Форкосиганах?	select distinct ?x0 where { SUBJ_1 dr:publication_date ?x0 . }
Когда родился папа Савитри Деви?	select ?x0 where { SUBJ_1 dr:father ?dummy . ?dummy dr:birth_day ?x0 . }
Какое среднее число альтернативных названий имеет вещество, основным составляющим которого является Оксид серы I?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Сколько глубина водоёма острова Казахстан 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
Находится ли в браке сын Мамедов Сергей Валерьевич ?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
В скольких  в среднем стилях выступал человек, который вдохновил  Алан Сильвестри?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Дата основания страны, которая граничит с Израиль?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
В каком альянсе Малый Высоцкий состоит?	select distinct ?x0 where { ?x0 dr:parts_alliance OBJ_1 . }
Какая минимальная высота над уровнем моря у места там, где на текущий момент живёт Лев XI?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Человек, являющийся владельцем Триколор ТВ, сейчас женат?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
В каком году компания Несчастный случай была создана другой организацией? 	select ?x0 where { SUBJ_1 dr:company_parent ?dummy . ?dummy dr:company_inception_date ?x0 . }
Какая общая площадь страны, на  которой находится Кима?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
